                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6284,                 4.2879,                0.83211,                0.00348,                      1,                 0.3068,                0.23212,                0.41079,                 3.1307,                0.80599,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                0.62114,                 4.1403,                0.96903,                0.00349,                      1,                 0.2757,                0.20079,                0.40379,                 3.1372,                0.80397,             3.8626e-05,             3.8626e-05,             3.8626e-05
                      3,                 1.4336,                 4.7344,                 1.5912,                0.00348,                      1,                 0.2525,                0.18641,                0.39615,                 3.1489,                0.79918,             5.7303e-05,             5.7303e-05,             5.7303e-05
                      4,                0.64161,                 4.0997,                 1.0048,                0.00347,                      1,                0.28063,                0.23677,                0.41889,                 3.1602,                0.80568,             7.0321e-05,             7.0321e-05,             7.0321e-05
                      5,                0.66025,                  4.049,                0.96154,                0.00348,                      1,                0.36211,                0.32364,                 0.4305,                 3.1577,                0.81218,              7.768e-05,              7.768e-05,              7.768e-05
                      6,                0.91256,                 3.5488,                 1.0523,                0.00324,                0.95833,                0.42229,                0.37659,                0.40187,                 3.1862,                0.81362,             7.9381e-05,             7.9381e-05,             7.9381e-05
                      7,                0.81239,                 3.3053,                0.89846,                0.00349,                      1,                0.48955,                0.43601,                 0.4056,                 3.1695,                0.81575,             7.5423e-05,             7.5423e-05,             7.5423e-05
                      8,                0.87883,                 3.9013,                0.95494,                0.00347,                      1,                0.48434,                0.43758,                0.40454,                  3.151,                0.80688,             6.5805e-05,             6.5805e-05,             6.5805e-05
                      9,                0.40729,                 3.0164,                0.95005,                0.00345,                      1,                0.48638,                0.43952,                0.40195,                 3.1434,                0.80673,             5.0529e-05,             5.0529e-05,             5.0529e-05
                     10,                0.61712,                 2.9381,                0.89949,                0.00344,                      1,                0.49533,                0.44758,                0.40173,                 3.1326,                0.81012,             2.9595e-05,             2.9595e-05,             2.9595e-05
